cohort,N,scenario,qi_cols,mitigation,K,reps,frac_unique_mean,frac_unique_p95,frac_below_k_mean,frac_below_k_p95,min_k_mean,min_k_p95,p_unique_mean,p_unique_p95,p_below_k_mean,p_below_k_p95,n_cells_mean,n_cells_p95,linkage_p_success_mean
student,30,gender+age_exact,gender|age_exact,none,5,3000,0.2989888888888889,0.43333333333333335,0.9433333333333334,1.0,1.0,1.0,0.2989888888888889,0.43333333333333335,0.9433333333333334,1.0,17.041,20.0,
student,30,gender+age_exact,gender|age_exact,age_bands,5,3000,0.030044444444444443,0.06666666666666667,0.16083333333333333,0.3,1.715,4.0,0.030044444444444443,0.06666666666666667,0.16083333333333333,0.3,4.715,6.0,
student,30,gender+age_exact,gender|age_exact,suppress_k,5,3000,0.0,0.0,0.0,0.0,22.602,30.0,0.0,0.0,0.0,0.0,1.3206666666666667,2.0,
student,30,gender+age_exact,gender|age_exact,analytic_uniform_heuristic,5,0,0.20651279254425295,,,,,,0.20651279254425295,,,,,,
student,30,gender+age_band+status,gender|age_band|student_status,none,5,3000,0.10736666666666668,0.2,0.31379999999999997,0.4666666666666667,1.0326666666666666,1.0,0.10736666666666668,0.2,0.31379999999999997,0.4666666666666667,7.812333333333333,10.0,
student,30,gender+age_band+status,gender|age_band|student_status,suppress_k,5,3000,3.3333333333333335e-05,0.0,0.0047,0.0,6.9013333333333335,9.0,3.3333333333333335e-05,0.0,0.0047,0.0,3.2613333333333334,4.0,
student,30,gender+age_band+status,gender|age_band|student_status,analytic_uniform_heuristic,5,0,0.33940795230274856,,,,,,0.33940795230274856,,,,,,
student,30,gender+age_exact+status,gender|age_exact|student_status,none,5,3000,0.43263333333333337,0.6,0.9705,1.0,1.0,1.0,0.43263333333333337,0.6,0.9705,1.0,19.84,23.0,0.05794444444444444
student,30,gender+age_exact+status,gender|age_exact|student_status,age_bands,5,3000,0.1069777777777778,0.2,0.31522222222222224,0.4666666666666667,1.033,1.0,0.1069777777777778,0.2,0.31522222222222224,0.4666666666666667,7.8196666666666665,10.0,
student,30,gender+age_exact+status,gender|age_exact|student_status,suppress_k,5,3000,0.0,0.0,0.0,0.0,25.961333333333332,30.0,0.0,0.0,0.0,0.0,1.1693333333333333,2.0,
